id,TYPE,NO,NAME,EN_NAME,UnitPrice,Density
7f940206-6995-11ee-ab2d-ac82472e843d,MAT,102,含油尼龙,含油尼龙,40,1200
7f9436d7-6995-11ee-ab2d-ac82472e843d,MAT,103,NAK80精料,NAK80精料,40,7850
7f94748c-6995-11ee-ab2d-ac82472e843d,MAT,104,9Cr18棒材,9Cr18棒材,40,7850
7f94bbaa-6995-11ee-ab2d-ac82472e843d,MAT,105,DC53光料,DC53光料,40,7850
7f94ef1e-6995-11ee-ab2d-ac82472e843d,MAT,106,SUS316棒材,SUS316棒材,40,7930
7f9522b7-6995-11ee-ab2d-ac82472e843d,MAT,107,SUS316L棒材,SUS316L棒材,40,7930
7f9559a1-6995-11ee-ab2d-ac82472e843d,MAT,108,304无缝钢管,304无缝钢管,40,7950
7f959203-6995-11ee-ab2d-ac82472e843d,MAT,109,304螺杆  M6,304螺杆  M6,40,7950
7f95c864-6995-11ee-ab2d-ac82472e843d,MAT,110,M20*40  SUS304,M20*40  SUS304,40,7950
7f95fc0f-6995-11ee-ab2d-ac82472e843d,MAT,111,304六角钢,304六角钢,40,7950
7f9648c4-6995-11ee-ab2d-ac82472e843d,MAT,112,201花纹板,201花纹板,40,7950
7f967dbe-6995-11ee-ab2d-ac82472e843d,MAT,113,304拉丝板,304拉丝板,40,7950
7f96ae4b-6995-11ee-ab2d-ac82472e843d,MAT,114,304光板,304光板,40,7950
7f96eb27-6995-11ee-ab2d-ac82472e843d,MAT,115,DC53精料,DC53精料,42,7850
7f971e0c-6995-11ee-ab2d-ac82472e843d,MAT,116,40Cr银钢支,40Cr银钢支,42,7930
7f975191-6995-11ee-ab2d-ac82472e843d,MAT,117,9Cr18光料,9Cr18光料,43,7850
7f978353-6995-11ee-ab2d-ac82472e843d,MAT,118,SUS316板材,SUS316板材,43,7930
7f97b46e-6995-11ee-ab2d-ac82472e843d,MAT,119,SUS316L板材,SUS316L板材,43,7930
7f97e69a-6995-11ee-ab2d-ac82472e843d,MAT,120,透明PC板,透明PC板,45,1200
7f981c05-6995-11ee-ab2d-ac82472e843d,MAT,121,优力胶 90度,优力胶 90度,45,1300
7f9859f8-6995-11ee-ab2d-ac82472e843d,MAT,122,贴膜7075-厚10以上,贴膜7075-厚10以上,40,2750
7f98959f-6995-11ee-ab2d-ac82472e843d,MAT,123,AL7075-圆棒,AL7075-圆棒,45,2750
7f98d431-6995-11ee-ab2d-ac82472e843d,MAT,124,9Cr18精料,9Cr18精料,45,7850
7f990cf9-6995-11ee-ab2d-ac82472e843d,MAT,125,贴膜7075-厚10以下,贴膜7075-厚10以下,48,2750
7f993f53-6995-11ee-ab2d-ac82472e843d,MAT,126,铝合金-2A12,铝合金-2A12,48,2850
7f997533-6995-11ee-ab2d-ac82472e843d,MAT,127,H13,H13,48,7850
7f99a785-6995-11ee-ab2d-ac82472e843d,MAT,128,合成石,合成石,50,2000
7f99d8c4-6995-11ee-ab2d-ac82472e843d,MAT,129,PA66+GF30黑色,PA66+GF30黑色,50,2400
7f9a09e3-6995-11ee-ab2d-ac82472e843d,MAT,130,超平板6061,超平板6061,50,2750
7f9a3f46-6995-11ee-ab2d-ac82472e843d,MAT,131,SUS630,SUS630,50,7930
7f9a7409-6995-11ee-ab2d-ac82472e843d,MAT,132,0.5锰钢片,0.5锰钢片,50,7950
7f9aaaed-6995-11ee-ab2d-ac82472e843d,MAT,133,不锈钢网,不锈钢网,50,7950
7f9adea5-6995-11ee-ab2d-ac82472e843d,MAT,134,透明PC棒,透明PC棒,55,1200
7f9b10aa-6995-11ee-ab2d-ac82472e843d,MAT,135,SUJ2镀铬棒,SUJ2镀铬棒,55,7930
7f9b420a-6995-11ee-ab2d-ac82472e843d,MAT,136,尼龙-PA66,尼龙-PA66,60,1130
7f9b7356-6995-11ee-ab2d-ac82472e843d,MAT,137,白色铁氟龙 A板,白色铁氟龙 A板,68,2400
7f9ba488-6995-11ee-ab2d-ac82472e843d,MAT,138,黄铜-H62棒材,黄铜-H62棒材,68,8500
7f9bd765-6995-11ee-ab2d-ac82472e843d,MAT,139,黄铜-H62板材,黄铜-H62板材,69,8500
7f9c09fb-6995-11ee-ab2d-ac82472e843d,MAT,140,锡青铜板材,锡青铜板材,69,8500
7f9c3c28-6995-11ee-ab2d-ac82472e843d,MAT,141,锡青铜棒材,锡青铜棒材,69,8500
7f9c7a24-6995-11ee-ab2d-ac82472e843d,MAT,142,PA66+GF30白色,PA66+GF30白色,70,2400
7f9cab23-6995-11ee-ab2d-ac82472e843d,MAT,143,特氟龙,特氟龙,90,2200
7f9ce920-6995-11ee-ab2d-ac82472e843d,MAT,144,聚四氟乙烯,聚四氟乙烯,90,2300
7f9d1aa8-6995-11ee-ab2d-ac82472e843d,MAT,145,紫铜-T2棒料,紫铜-T2棒料,90,8500
7f9d50fc-6995-11ee-ab2d-ac82472e843d,MAT,146,紫铜-T2板材,紫铜-T2板材,92,8500
7f9d8730-6995-11ee-ab2d-ac82472e843d,MAT,147,50CrMv,50CrMv,100,7930
